Date,Open,High,Low,Close,Adj Close,Volume
,4.0825,4.289999999999999,4.047499999999999,4.09,4.09,2981875
,4.074999999999999,4.27,4.035,4.07,4.07,2726550
,4.067499999999999,4.25,4.0225,4.050000000000001,4.050000000000001,2471225
2020-07-24,4.06,4.23,4.01,4.03,4.03,2215900
,4.049999999999999,4.202500000000001,3.995,4.025,4.025,2280100
,4.039999999999999,4.175000000000001,3.98,4.02,4.02,2344300
,4.029999999999999,4.147500000000001,3.965,4.015,4.015,2408500
2020-07-27,4.02,4.12,3.95,4.01,4.01,2472700
,4.005,4.1025,3.9425,3.9924999999999997,3.9924999999999997,2993375
,3.9899999999999998,4.085,3.935,3.9749999999999996,3.9749999999999996,3514050
,3.9749999999999996,4.0675,3.9275,3.9574999999999996,3.9574999999999996,4034725
2020-07-28,3.96,4.05,3.92,3.94,3.94,4555400
,3.955,4.0825,3.92,3.9699999999999998,3.9699999999999998,4136450
,3.95,4.115,3.92,4,4,3717500
,3.9450000000000003,4.1475,3.92,4.029999999999999,4.029999999999999,3298550
2020-07-29,3.94,4.18,3.92,4.06,4.06,2879600
,3.955,4.1925,3.9325,4.07,4.07,2759325
,3.9699999999999998,4.205,3.9450000000000003,4.08,4.08,2639050
,3.985,4.2175,3.9575000000000005,4.09,4.09,2518775
2020-07-30,4,4.23,3.97,4.1,4.1,2398500
,4.015,4.2125,3.9750000000000005,4.0775,4.0775,2268725
,4.029999999999999,4.195,3.9800000000000004,4.055,4.055,2138950
,4.045,4.1775,3.9850000000000003,4.0325,4.0325,2009175
2020-07-31,4.06,4.16,3.99,4.01,4.01,1879400
,4.0525,4.1825,3.9925,4.045,4.045,2038950
,4.045,4.205,3.995,4.08,4.08,2198500
,4.0375,4.2275,3.9975,4.115,4.115,2358050
2020-08-03,4.03,4.25,4,4.15,4.15,2517600
,4.055,4.3725000000000005,4.0325,4.220000000000001,4.220000000000001,4478550
,4.08,4.495,4.0649999999999995,4.29,4.29,6439500
,4.105,4.6175,4.0975,4.359999999999999,4.359999999999999,8400450
2020-08-04,4.13,4.74,4.13,4.43,4.43,10361400
